"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"../features/user.feature: TC_06 - Update user data","194","TC_06 - Update user data","steps","Thu Apr 23 13:34:22 UTC 2026","passed","Thu Apr 23 13:34:22 UTC 2026","","test_users","",""
"../features/user.feature: TC_09 - Creating user with minimal payload","125","TC_09 - Creating user with minimal payload","steps","Thu Apr 23 13:34:23 UTC 2026","passed","Thu Apr 23 13:34:23 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","86","TC_12 - Get user with invalid ID returns 404","steps","Thu Apr 23 13:34:24 UTC 2026","passed","Thu Apr 23 13:34:24 UTC 2026","","test_users","",""
"../features/user.feature: TC_16 - Full User Lifecycle","359","TC_16 - Full User Lifecycle","steps","Thu Apr 23 13:34:24 UTC 2026","passed","Thu Apr 23 13:34:24 UTC 2026","","test_users","",""
"../features/user.feature: TC_13 - Schema Validation","95","TC_13 - Schema Validation","steps","Thu Apr 23 13:34:24 UTC 2026","passed","Thu Apr 23 13:34:24 UTC 2026","","test_users","",""
"../features/user.feature: TC_16 - Full User Lifecycle","372","TC_16 - Full User Lifecycle","steps","Thu Apr 23 13:34:24 UTC 2026","passed","Thu Apr 23 13:34:25 UTC 2026","","test_users","",""
"../features/user.feature: TC_05 - Check format of single user","85","TC_05 - Check format of single user","steps","Thu Apr 23 13:34:22 UTC 2026","passed","Thu Apr 23 13:34:22 UTC 2026","","test_users","",""
"../features/user.feature: TC_07 - Delete user","120","TC_07 - Delete user","steps","Thu Apr 23 13:34:23 UTC 2026","passed","Thu Apr 23 13:34:23 UTC 2026","","test_users","",""
"../features/user.feature: TC_06 - Update user data","196","TC_06 - Update user data","steps","Thu Apr 23 13:34:22 UTC 2026","passed","Thu Apr 23 13:34:23 UTC 2026","","test_users","",""
"../features/user.feature: TC_12 - Get user with invalid ID returns 404","85","TC_12 - Get user with invalid ID returns 404","steps","Thu Apr 23 13:34:23 UTC 2026","passed","Thu Apr 23 13:34:23 UTC 2026","","test_users","",""
"../features/user.feature: TC_02 - Get existing user","92","TC_02 - Get existing user","steps","Thu Apr 23 13:34:21 UTC 2026","passed","Thu Apr 23 13:34:22 UTC 2026","","test_users","",""
"../features/user.feature: TC_16 - Full User Lifecycle","362","TC_16 - Full User Lifecycle","steps","Thu Apr 23 13:34:25 UTC 2026","passed","Thu Apr 23 13:34:25 UTC 2026","","test_users","",""
"../features/user.feature: TC_15 - Users List Structure validation","87","TC_15 - Users List Structure validation","steps","Thu Apr 23 13:34:24 UTC 2026","passed","Thu Apr 23 13:34:24 UTC 2026","","test_users","",""
